oldcode,hsspend_per_cap68_z1,hsspend_per_cap68_z2,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960,hsspend_per_kid_68,hsspend_per_kid_72
34096,4.549222,4.549222,81805,52.96768,4.549222,210.3662,704.0661,914.4324,4.700028,4.700028,4.700028,331.3123,1065.09,1401.102,1,1,34,40.8,36.7,267.6013,276.4722
6011,0,0,8534,52.98683,0,267.2393,434.2684,701.5078,0,0,0,550.4346,362.3018,912.7365,0,0,6,0,0,0,0
47078,0,0,5586,52.98991,0,126.3257,275.0594,401.3851,0,0,0,240.6668,459.0299,699.6967,0,0,47,44.8,5.9,0,0
4075,34.53547,34.53547,11798,53.01746,34.53547,334.6995,769.4974,1104.197,46.38232,46.38232,46.38232,525.3167,402.253,973.952,1,1,4,0,3.6,2031.498,2728.372
44190,0,0,3134,53.03127,0,257.7559,325.6263,583.3822,0,0,0,531.831,412.0149,943.8459,0,0,44,0,10.2,0,0
44024,1.452842,1.452842,8300,53.07256,1.452842,205.8763,273.8726,479.7489,0,0,0,357.564,702.426,1059.99,0,1,44,75.7,.1,85.4613,0
25057,7.571973,5.660966,35318,53.07844,0,187.6364,299.8347,487.471,0,0,0,523.354,367.8133,891.1674,0,0,25,34.3,43.9,332.998,0
11043,0,0,25621,53.10465,0,186.074,208.7163,394.7902,0,0,0,452.6571,395.3523,848.0094,0,0,11,50.4,41.6,0,0
44247,0,0,13758,53.17091,0,175.015,301.95,476.965,0,0,0,448.849,251.0467,699.8957,0,0,44,0,1.9,0,0
41006,0,0,18000,53.20109,0,99.1983,260.4145,359.6128,0,0,0,333.389,305.2416,638.6307,0,0,41,41.3,43.3,0,0
47041,0,0,34139,53.22244,0,135.6015,291.0208,426.6222,0,0,0,391.1391,195.3125,586.4517,0,0,47,0,44,0,0
11016,0,0,24618,53.25795,0,169.8439,235.7401,405.584,0,0,0,298.2951,820.644,1118.939,0,0,11,34.4,36.9,0,0
44026,0,0,11422,53.36193,0,243.0133,496.9307,739.944,0,0,0,525.9416,447.7868,973.7284,0,0,44,0,31.3,0,0
35033,2.101636,2.101636,2815,53.39254,2.101636,126.5978,808.8027,935.4005,0,0,0,258.9879,1035.034,1294.022,0,1,35,0,0,123.6257,0
41016,2.835036,2.835036,53339,53.39907,2.835036,131.9606,206.7743,338.7349,3.349051,3.349051,3.349051,371.6734,279.7493,654.7717,1,1,41,24.8,44.4,166.7668,197.003
4036,0,0,12593,53.43197,0,310.3676,498.6537,809.0213,0,0,0,556.1783,284.3404,840.5187,0,0,4,31.6,2.1,0,0
44236,0,0,21286,53.43881,0,194.2529,194.1969,388.4498,0,0,0,306.8793,250.6752,557.5546,0,0,44,55.9,32.6,0,0
44144,0,0,9180,53.44205,0,243.0306,350.1789,593.2095,0,0,0,517.9075,369.5254,887.4329,0,0,44,31.5,23.9,0,0
37040,7.010611,7.010611,29677,53.4957,7.010611,378.1666,370.472,748.6386,0,0,0,678.334,408.7488,1087.083,0,1,37,21.6,3.5,412.3889,0
18002,0,0,12347,53.51461,0,146.5574,395.6636,542.221,0,0,0,409.2062,278.8014,688.0076,0,0,18,27.1,2.2,0,0
44143,0,0,20342,53.52906,0,294.4132,515.7197,810.1329,0,0,0,557.6663,242.4716,800.1379,0,0,44,30.4,10.4,0,0
25046,21.29247,21.29247,23731,53.54998,21.29247,209.3822,509.589,718.9712,22.17437,22.17437,22.17437,462.6715,552.6457,1037.492,1,1,25,30.6,33.8,1252.498,1304.375
4061,15.49941,15.49941,12571,53.55946,15.49941,257.0905,342.7964,599.8869,36.69435,36.69435,36.69435,507.002,330.4895,874.1859,1,1,4,29.3,1.3,911.7298,2158.491
25071,0,0,13907,53.61285,0,194.7925,740.5649,935.3574,0,0,0,467.0515,273.1419,740.1934,0,0,25,0,4.9,0,0
19053,2.158634,2.158634,59825,53.64775,2.158634,236.1837,174.7844,410.968,0,0,0,424.9673,371.9587,796.926,0,1,19,35.7,33.8,126.9785,0
43020,0,0,8412,53.66667,0,163.9357,215.5271,379.4628,0,0,0,388.343,211.8431,600.1861,0,0,43,0,6.4,0,0
25036,9.943988,5.660966,21667,53.68322,0,192.7141,405.5775,598.2916,0,0,0,503.0871,574.7678,1077.855,0,0,25,41.6,33.8,332.998,0
34061,0,0,13599,53.69103,0,211.964,160.2008,372.1648,0,0,0,417.7177,128.4428,546.1605,0,0,34,18,.3,0,0
1031,0,0,22899,53.8095,0,221.1873,269.9475,491.1348,0,0,0,460.3339,443.5906,903.9244,0,0,1,17.2,15.1,0,0
4055,4.591895,4.591895,7946,53.85487,4.591895,245.1131,326.3759,571.4889,0,0,0,451.854,413.5208,865.3748,0,1,4,0,4.3,270.1115,0
37011,2.318978,2.318978,17711,53.87846,2.318978,241.5224,260.5329,502.0553,16.13878,16.13878,16.13878,635.5645,354.1059,1005.809,1,1,37,32.9,1.6,136.4105,949.3398
49036,4.480159,4.480159,7910,53.96785,4.480159,215.3022,1243.785,1459.087,0,0,0,363.3637,525.8,889.1637,0,1,49,0,2.1,263.5388,0
18022,4.228715,4.228715,21157,54.01148,4.228715,290.5889,1106.26,1396.849,37.80504,37.80504,37.80504,508.7587,526.7451,1073.309,1,1,18,0,.1,248.748,2223.826
47001,0,0,31109,54.03124,0,133.7943,698.0416,831.8359,0,0,0,500.5668,878.2051,1378.772,0,0,47,0,38.6,0,0
19024,5.558446,5.558446,30788,54.03659,5.558446,323.9703,681.5033,1005.474,5.706758,5.706758,5.706758,516.8025,270.1112,792.6205,1,1,19,25.7,48.8,326.9674,335.6917
18043,1.885679,1.885679,16195,54.06124,1.885679,226.5473,228.6306,455.1779,17.79507,17.79507,17.79507,424.2603,202.9881,645.0435,1,1,18,18.8,.5,110.9223,1046.769
11104,0,0,10502,54.1145,0,181.6387,304.9778,486.6165,0,0,0,475.0667,333.1432,808.2098,0,0,11,26.1,47.9,0,0
43021,0,0,10602,54.1556,0,167.68,253.0204,420.7004,0,13.49565,13.49565,736.1035,375.0372,1124.636,1,0,43,0,2.6,0,793.8618
47095,1.654095,1.654095,11072,54.16515,1.654095,192.066,182.3158,374.3819,0,0,0,445.0951,198.5559,643.651,0,1,47,25.6,4.3,97.29968,0
