oldcode,total_pop_80,pop16_19_80,pop18_24_80,pop25plus_80,pop18plus_80,hsplus_25plus_80,somecollege_25plus_80,collegeplus_25plus_80,hsplus_18plus_80,somecollege_18plus_80,collegeplus_18plus_80,hsplus_18_24_80,somecollege_18_24_80,collegeplus_18_24_80,inschool_16_19_80,pctinschool_16_19_80,pcthsplus_18_24_80,pctsomecollege_18_24_80,pctcollegeplus_18_24_80,pcthsplus_25plus_80,pctsomecollege_25plus_80,pctcollegeplus_25plus_80,povrate60
33052,1284231,104095,145543,732910,878453,540345,249795,130413,661194,302866,140038,120849,53071,9625,80824,.7764446,.8303319,.3646414,.0661317,.7372597,.3408263,.1779386,9.932737
33053,65155,5035,7097,41042,48139,25379,10797,4926,30460,12727,5320,5081,1930,394,3730,.7408143,.7159363,.2719459,.0555164,.6183665,.263072,.1200234,20.30297
33054,49812,3980,5224,28121,33345,20208,8263,4161,24177,9481,4363,3969,1218,202,3147,.7907035,.7597626,.2331547,.0386677,.7186089,.2938373,.1479677,17.16911
33055,87085,11056,24569,43872,68441,35440,22492,15933,58575,38474,19074,23135,15982,3141,9976,.9023155,.9416338,.6504945,.127844,.8078045,.5126733,.3631701,15.75976
33056,158158,11965,19586,96130,115716,64260,30590,15412,79657,37547,16601,15397,6957,1189,9074,.7583786,.7861227,.3552027,.0607066,.6684698,.3182149,.1603246,15.79737
33057,54854,4128,6174,32313,38487,22244,10157,5278,26950,11792,5564,4706,1635,286,3079,.7458818,.7622287,.2648202,.0463233,.6883917,.3143317,.1633398,21.65548
33058,54795,4324,6172,31680,37852,19785,7446,3269,23948,8662,3465,4163,1216,196,3206,.7414431,.6744977,.1970188,.0317563,.6245265,.2350379,.1031881,22.18833
33059,84581,6277,8938,49095,58033,31325,12438,5649,37556,14073,5982,6231,1635,333,4436,.706707,.6971358,.1829268,.0372567,.6380487,.2533455,.1150626,17.00628
33060,866599,61231,94516,554740,649256,416939,238224,155211,495176,281159,166371,78237,42935,11160,50204,.8199115,.8277646,.4542617,.1180752,.7515935,.4294336,.2797905,7.949345
33061,39895,2845,4469,23183,27652,14641,5245,1996,17957,5986,2100,3316,741,104,2049,.7202109,.7420005,.1658089,.0232714,.6315404,.2262434,.0860976,17.37491
33062,21459,1723,2570,12859,15429,8310,3367,1690,10350,4118,1734,2040,751,44,1310,.7603018,.7937743,.2922179,.0171206,.64624,.26184,.1314255,23.38812
34001,99319,7609,12258,61025,73283,32947,15434,7194,41843,18915,7807,8896,3481,613,5489,.7213826,.7257301,.2839778,.0500082,.5398935,.2529127,.1178861,23.39498
34002,24999,1876,2907,14597,17504,6404,2317,991,8237,2760,1060,1833,443,69,1086,.5788913,.6305469,.1523908,.0237358,.4387203,.1587313,.0678907,34.89651
34003,9587,618,943,6128,7071,2359,901,312,2971,1022,350,612,121,38,429,.6941748,.6489926,.1283139,.0402969,.3849543,.14703,.0509138,49.33673
34004,25649,1905,2809,14686,17495,6894,2504,1020,8859,3044,1089,1965,540,69,1249,.655643,.6995372,.1922392,.0245639,.4694267,.1705025,.0694539,59.31553
34005,22325,1517,2374,13975,16349,5733,2086,836,7234,2354,865,1501,268,29,861,.5675676,.6322662,.1128896,.0122157,.4102325,.1492665,.0598211,55.59979
34006,14409,1324,2075,8340,10415,4137,1795,789,5682,2365,817,1545,570,28,1004,.7583082,.7445783,.2746988,.013494,.4960432,.2152278,.0946043,57.24355
34007,40355,2806,4345,23942,28287,12080,4801,2051,15139,5722,2222,3059,921,171,2046,.7291518,.7040276,.2119678,.0393556,.5045527,.2005263,.0856654,61.40871
34008,21024,1669,2400,11847,14247,4491,1782,772,5927,2185,876,1436,403,104,1189,.7124026,.5983334,.1679167,.0433333,.3790833,.1504178,.0651642,64.87823
34009,30491,2293,3553,17518,21071,7694,3003,1225,10040,3688,1339,2346,685,114,1528,.6663759,.6602871,.1927948,.0320856,.4392054,.1714237,.0699281,62.59098
34010,35777,2433,3858,21014,24872,10829,4274,1683,13404,4960,1828,2575,686,145,1549,.6366625,.6674443,.1778123,.0375842,.5153231,.2033882,.0800895,59.54552
34011,160934,10656,17708,101638,119346,60368,30303,14858,72898,35213,15832,12530,4910,974,7102,.666479,.7075898,.2772758,.0550034,.5939511,.2981464,.1461855,31.46442
