oldcode,ecls_pop,ecls_center,ecls_headstrt,ecls_hs_fullday,ecls_hs_partday,ecls_c1reading,ecls_c1math,ecls_c1general,propvoter68,propvoter70,propvoter72,propvoter74,propvoter76,propvoter78,propvoter80,voter_missing,age5_9_rate,age5_9_tb_rate,age5_9_other_inf_rate,age5_9_diabetes_rate,age5_9_nutrition_rate,age5_9_anemias_rate,age5_9_meningitis_rate,age5_9_circ_rate,age5_9_resp_rate,age5_9_injury_rate,infant_rate,infant_tb_rate,infant_other_inf_rate,infant_diabetes_rate,infant_nutrition_rate,infant_anemias_rate,infant_meningitis_rate,infant_resp_rate,infant_injury_rate,postneonate_rate,postneonate_tb_rate,postneonate_other_inf_rate,postneonate_diabetes_rate,postneonate_nutrition_rate,postneonate_anemias_rate,postneonate_meningitis_rate,postneonate_resp_rate,postneonate_injury_rate,infant_sum1,infant_sum2,postneonate_sum1,postneonate_sum2,age5_9_sum1,age5_9_sum2,age5_9_sum3,age5_9_sum3b,age5_9_sum4,age5_9_sum1_count,age5_9_sum2_count,age5_9_sum3_count,age5_9_sum3b_count,age5_9_sum4_count,black_age5_9_sum1,black_age5_9_sum2,black_age5_9_sum3,black_age5_9_sum3b,black_age5_9_sum4,white_age5_9_sum1,white_age5_9_sum2,white_age5_9_sum3,white_age5_9_sum3b,white_age5_9_sum4,age25plus_sum1,age25plus_sum2,age25plus_sum3,age25plus_sum3b,age25plus_sum4,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960
18032,,,,,,,,,.791168,.8174617,.637283,.4104163,,.6790831,.6814428,0,0,0,0,0,0,0,0,0,0,0,1513.514,0,0,0,0,0,0,324.3243,0,756.7568,0,0,0,0,0,0,216.2162,0,0,324.3243,0,216.2162,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,59.56389,119.1278,950.4325,253.794,1085.099,6357,60.45296,78.27406,271.9687,168.8303,440.7989,0,0,0,335.5688,269.8871,605.4559,0,1,18,0,0
19016,,,,,,,,,.3997101,.39479,.4432876,.5128273,.5491126,.5273238,.5678264,0,22.18082,0,4.436163,0,0,0,0,0,0,17.74465,2077.275,0,20.77275,0,0,0,0,166.182,103.8637,602.4097,0,20.77275,0,0,0,0,166.182,83.09099,20.77275,186.9547,20.77275,186.9547,4.436163,4.436163,4.436163,22.18082,22.18082,1,1,1,5,5,8.877841,8.877841,8.877841,26.63352,26.63352,0,0,0,17.79359,17.79359,62.9642,142.6332,1238.082,285.2664,1380.715,24383,60.47523,0,260.1226,122.2975,382.42,0,0,0,498.184,166.5867,664.7707,0,0,19,24.1,57.5
4033,,,,,,,,,.5522287,.5984284,.728763,.8257689,.8978458,.948652,.8954071,0,28.96033,0,0,0,0,0,0,0,0,14.48016,431.0345,0,0,0,0,0,0,0,0,86.20689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48016,14.48016,0,0,0,1,1,,,,,,0,0,0,14.49696,14.49696,26.3397,115.8947,1190.555,210.7176,1285.377,6659,60.48956,0,239.2995,244.769,484.0685,0,0,0,579.0029,295.292,874.2948,0,0,4,0,.8
1044,,,,,,,,,,,,.4706332,.4757055,.5233284,.6207077,0,25.9538,0,0,0,0,0,0,0,4.325634,17.30253,2444.396,0,66.06474,0,0,0,0,220.2158,110.1079,836.8201,0,44.04316,0,0,0,0,198.1942,110.1079,66.06474,286.2805,44.04316,242.2374,0,4.325634,4.325634,21.62817,21.62817,0,1,1,5,5,0,4.996003,4.996003,24.98001,24.98001,0,0,0,0,0,86.84325,191.0551,1190.421,319.3159,1318.681,27413,60.51723,21.10261,401.2644,654.2028,1055.467,25.56298,25.56298,29.16469,802.863,1120.215,1952.242,1,1,1,13.3,83.4
4038,,,,,,,,,.4903186,.5073529,.5751225,.5873774,.5762868,.6182598,.6083333,0,13.17002,0,0,0,0,0,0,0,0,6.585012,857.7556,0,71.47963,0,0,0,0,71.47963,35.73981,285.9185,0,0,0,0,0,0,71.47963,35.73981,71.47963,142.9593,0,71.47963,0,0,0,6.585012,6.585012,0,0,0,1,1,0,0,0,0,0,0,0,0,6.651147,6.651147,46.63053,130.732,1144.946,205.6739,1219.888,16778,60.56177,0,249.7592,482.2531,732.0123,0,0,0,572.4117,535.0264,1107.438,0,0,4,20.5,.9
4019,,,,,,,,,.3724915,.3781024,.424152,.4099985,.4160643,.4182379,.4373958,0,23.68097,0,0,0,0,0,0,4.736194,0,9.472388,1540.649,0,71.1069,0,0,0,0,118.5115,47.4046,521.4506,0,23.7023,0,0,0,0,94.8092,47.4046,71.1069,189.6184,23.7023,118.5115,0,0,4.736194,9.472388,14.20858,0,0,1,2,3,0,0,14.66276,0,14.66276,0,0,0,14.01738,14.01738,44.77798,124.3833,1020.772,242.1328,1138.521,19765,60.74405,0,179.5531,942.0285,1121.582,0,0,0,360.5854,714.471,1075.056,0,0,4,25.2,30.2
37064,,,,,,,,,.6453916,.6170485,.639318,.6304742,.6288759,.5954182,.6781033,0,21.32651,0,0,0,0,0,0,0,0,21.32651,1333.333,0,0,0,0,0,0,60.60606,60.60606,424.2424,0,0,0,0,0,0,60.60606,60.60606,0,60.60606,0,60.60606,0,0,0,21.32651,21.32651,0,0,0,2,2,0,0,0,0,0,0,0,0,25.33249,25.33249,41.13479,171.1738,1242.005,309.1744,1380.006,9006,60.74714,2.056473,354.1971,196.5988,550.796,0,0,0,634.8215,290.2579,925.0794,0,1,37,0,2
34082,,,,,,,,,.7434489,.3685545,.4445433,.4824932,.5279619,.5304978,.5634649,0,37.28995,0,0,0,0,0,0,0,0,16.31435,1790.858,0,75.14089,0,0,0,25.04696,75.14089,25.04696,475.8923,0,0,0,0,0,12.52348,62.61741,25.04696,100.1879,175.3287,12.52348,75.14089,0,0,0,16.31435,16.31435,0,0,0,7,7,0,0,0,11.62385,11.62385,0,0,0,16.07523,16.07523,59.90043,124.0561,995.7219,264.1511,1135.817,47959,60.76,0,144.1336,314.3495,458.4831,0,0,0,338.8355,222.442,561.2775,0,0,34,15.5,35.9
11088,,,,,,,,,.4256105,.4281658,.5106474,.4890687,.60477,.556644,.7140829,0,17.73836,0,0,0,0,0,0,0,8.86918,8.86918,877.5779,0,0,0,43.87889,0,0,87.75779,131.6367,351.0312,0,0,0,43.87889,0,0,43.87889,131.6367,43.87889,131.6367,43.87889,87.75779,0,8.86918,8.86918,17.73836,17.73836,0,1,1,2,2,0,29.45508,29.45508,58.91016,58.91016,0,0,0,0,0,30.28902,66.95468,583.4622,165.7925,682.3,6566,60.76637,0,117.1366,464.1681,581.3046,0,0,0,363.8927,553.3177,917.2104,0,0,11,0,62.7
19011,,,,,,,,,.5534531,.5315373,.618452,.5891597,.6512722,.6151379,.6881548,0,54.42473,0,0,0,0,0,0,0,0,54.42473,1406.8,0,58.61665,0,0,0,0,0,175.8499,586.1664,0,0,0,0,0,0,0,175.8499,58.61665,58.61665,0,0,0,0,0,54.42473,54.42473,0,0,0,5,5,0,0,0,49.30967,49.30967,0,0,0,56.04596,56.04596,64.73689,154.1355,1243.873,245.0754,1334.813,9080,60.77542,0,234.3981,575.1262,809.5243,0,0,0,492.6555,348.2777,840.9333,0,0,19,0,27.8
25062,,,,,,,,,,,,,,,.7579672,0,46.00393,0,0,0,0,0,0,0,4.182176,25.09305,1824.74,0,21.21791,0,0,0,21.21791,106.0895,106.0895,551.6656,0,0,0,0,0,21.21791,106.0895,106.0895,42.43582,148.5254,21.21791,127.3074,0,4.182176,4.182176,29.27523,29.27523,0,1,1,7,7,0,9.839614,9.839614,29.51884,29.51884,0,0,0,29.19921,29.19921,55.04076,130.2863,1146.799,251.5154,1268.028,21542,60.84792,0,200.3262,865.0377,1065.364,0,0,0,820.2513,524.7499,1345.001,0,0,25,18.5,38.2
