oldcode,total_pop_00,pop18_24_00,pop25_34_00,pop35_44_00,pop45_64_00,pop65plus_00,hsplus_18_24_00,somecollege_18_24_00,collegeplus_18_24_00,hsplus_25_34_00,somecollege_25_34_00,collegeplus_25_34_00,hsplus_35_44_00,somecollege_35_44_00,collegeplus_35_44_00,hsplus_45_64_00,somecollege_45_64_00,collegeplus_45_64_00,hsplus_65plus_00,somecollege_65plus_00,collegeplus_65plus_00,pcthsplus_18_24_00,pctsomecollege_18_24_00,pctcollegeplus_18_24_00,pcthsplus_25_34_00,pctsomecollege_25_34_00,pctcollegeplus_25_34_00,pcthsplus_35_44_00,pctsomecollege_35_44_00,pctcollegeplus_35_44_00,pcthsplus_45_64_00,pctsomecollege_45_64_00,pctcollegeplus_45_64_00,pcthsplus_65plus_00,pctsomecollege_65plus_00,pctcollegeplus_65plus_00,povrate60
18043,24053,2336,3076,3576,5928,3360,1481,550,105,2376,944,229,2681,1038,277,3716,1601,530,1237,506,190,.6339898,.2354452,.0449486,.7724317,.3068921,.0744473,.7497203,.2902685,.0774608,.6268556,.2700742,.0894062,.3681548,.1505952,.0565476,54.06124
18044,11518,962,1346,1799,2887,1951,648,257,16,1073,455,130,1366,553,239,1842,702,247,623,302,110,.6735967,.2671518,.016632,.7971768,.3380386,.0965825,.7593107,.307393,.1328516,.6380326,.243159,.0855559,.3193234,.1547924,.0563813,42.72222
18045,36891,3078,4636,5718,9577,5392,2184,1105,106,4083,2337,595,4916,2527,753,7411,3523,1176,2613,1072,390,.7095516,.3589993,.0344379,.8807161,.5040984,.1283434,.8597412,.4419377,.1316894,.7738332,.3678605,.1227942,.4846068,.1988131,.0723294,37.07141
18046,8392,743,1122,1316,2074,915,550,254,51,1001,489,153,1148,410,90,1632,657,141,408,152,58,.7402422,.3418573,.0686406,.8921568,.4358289,.1363636,.8723404,.3115501,.0683891,.7868853,.3167792,.0679846,.4459016,.1661202,.063388,47.78354
18047,94174,10889,13424,16465,19379,9090,7867,3213,257,12122,7645,2201,14581,9038,2865,16031,9069,3280,5301,2262,621,.7224722,.2950684,.0236018,.9030095,.5695024,.1639601,.8855755,.5489219,.1740055,.8272356,.4679808,.1692554,.5831683,.2488449,.0683168,32.9371
18048,33202,3107,4077,5000,8346,4618,1897,860,68,2844,1246,382,3456,1461,461,5047,2063,837,1594,618,272,.6105568,.2767943,.0218861,.6975718,.3056169,.0936963,.6912,.2922,.0922,.6047208,.2471843,.1002876,.3451711,.1338242,.0589,54.66656
18049,17983,1567,2508,2921,4174,2406,1047,455,52,2201,944,254,2480,1004,296,3002,1402,507,1222,437,218,.6681557,.2903638,.0331844,.8775917,.3763955,.1012759,.8490243,.3437179,.1013352,.7192142,.3358888,.1214662,.5078969,.1816293,.0906068,33.5351
18050,17445,1587,2196,2732,4138,2408,1079,387,58,1545,626,216,1791,743,185,2455,941,286,884,340,116,.6798992,.2438563,.0365469,.7035519,.2850637,.0983607,.6555637,.2719619,.067716,.5932818,.2274045,.0691155,.3671096,.141196,.0481728,52.71876
18051,44829,4116,5938,7506,10590,5926,2762,1253,165,5016,2920,894,6418,3316,942,8688,4540,1654,3327,1355,641,.6710398,.3044218,.0400875,.8447289,.4917481,.1505557,.8550493,.4417799,.1254996,.8203966,.4287063,.1561851,.5614243,.2286534,.1081674,33.55639
18052,15060,1277,1968,2492,3736,1836,774,357,40,1571,697,233,2091,815,266,2737,1125,390,963,260,94,.6061081,.2795615,.0313234,.7982724,.3541667,.1183943,.839085,.3270465,.1067416,.7326017,.3011242,.1043897,.5245098,.1416122,.0511983,39.37838
18053,5262,376,592,808,1351,983,257,68,2,476,185,62,542,203,62,949,395,161,438,163,42,.6835107,.1808511,.0053191,.8040541,.3125,.1047297,.6707921,.2512376,.0767327,.7024426,.292376,.119171,.4455748,.1658189,.0427263,44.43353
