oldcode,_type_,_freq_,ed_25plus_hsormore70,ed_25plus_collegeormore70,ed_18_24_hsormore70,ed_18_24_collegeormore70,total_pop25_plus70,total_pop18_24_70,total_pop70,povrate60
44067,0,1,.3569508,.0642125,.6629271,.0101989,11898,1961,17323,39.02365
44068,0,1,.5244371,.0844191,.5453432,.0220588,46589,9792,89238,17.68721
44069,0,1,.4186718,.1289702,.305,0,1039,200,1963,36.8984
44070,0,1,.407514,.0666974,.5322292,.02641,26058,4468,44807,39.34773
44071,0,1,.5105839,.1139945,.6048148,.0646211,163078,49473,348964,29.50497
44072,0,1,.3929616,.0844607,.7957348,.0293236,10940,3001,17533,35.75788
44073,0,1,.2615658,.0556284,.394669,.0395529,10678,1163,16633,57.41173
44074,0,1,.319631,.0470085,.5505351,.0184304,14742,1682,22025,47.92797
44075,0,1,.2129861,.0480721,.5332717,.0563771,11982,1082,17224,52.5
44076,0,1,.3017393,.0431056,.3467742,0,3967,372,6202,34.23742
44077,0,1,.4028887,.0671198,.2496662,.046729,5885,749,10857,30.61258
44078,0,1,.2670157,.0713351,.4222222,.0740741,1528,135,2128,40.71021
44079,0,1,.3453195,.0629176,.4372822,.0172474,25446,5740,50781,44.78047
44080,0,1,.3210268,.0516297,.5543478,.0108696,3467,368,5073,46.13113
44081,0,1,.2937261,.052967,.5,.0267296,7061,636,10745,56.79661
44082,0,1,.305114,.0752729,.2962963,.0292851,5221,1161,10768,62.3348
44083,0,1,.4065428,.0833191,.3753555,.0132701,5869,1055,11180,22.97747
44084,0,1,.4589097,.1036219,.5871217,.0629309,90946,17114,166555,26.04835
44085,0,1,.3368819,.0504808,.3110048,.0454545,2912,418,5207,25.58751
44086,0,1,.3379237,.0618947,.5391157,.0255102,6608,588,10370,34.20161
44087,0,1,.3769968,.0527157,.5595238,0,626,84,1252,16.73747
44088,0,1,.3271939,.0566992,.4424552,.0306905,2769,391,4396,51.86875
44089,0,1,.2541588,.0440093,.3411849,.0199857,9498,1401,15839,55.03259
44090,0,1,.5285419,.0982518,.5687318,.0285576,15959,2066,26341,14.44078
44091,0,1,.4726868,.0871648,.6694491,.0358932,47175,9584,80915,30.45842
44092,0,1,.5179114,.0918818,.6214805,.0398777,42152,7849,73826,30.62477
44093,0,1,.2781619,.054019,.4833154,.0279871,6942,929,11463,62.30111
44094,0,1,.3636313,.074111,.5948144,.0317743,18054,3934,32502,42.60527
44095,0,1,.4417021,.090156,.4649526,.0364249,17625,3267,33462,32.61238
44096,0,1,.3507881,.0448838,.3006682,.0089087,3743,449,5862,40.10132
44097,0,1,.3539686,.0492917,.5480573,.0184049,5153,489,7076,45.62988
44098,0,1,.5351574,.085025,.5297398,.0408922,3399,538,6231,12.80073
44099,0,1,.3112024,.0531599,.2913753,.025641,4383,429,6644,38.78851
44100,0,1,.3739686,.0643961,.5835505,.0215854,16119,2687,28894,34.86737
44101,0,1,.5271742,.146606,.5851872,.0667487,892576,203270,1697538,21.44833
44102,0,1,.4236543,.0898328,.6034967,.0353982,24579,4633,43882,46.07926
44103,0,1,.649662,.1118623,.4712644,.1034483,1627,174,2756,13.08074
44104,0,1,.3700019,.0455132,.3033932,.0199601,5427,501,8316,37.04437
44105,0,1,.4575187,.1556168,.7996795,.0410503,11252,8112,26851,50.20304
44106,0,1,.5381166,.0689462,.5545852,.0742358,1784,229,3017,20.90113
44107,0,1,.3621663,.0561473,.6300928,.0221864,15584,2479,25550,47.1584
44108,0,1,.3025522,.0730553,.3511645,.0257383,80049,20825,174784,65.04737
44109,0,1,.3472588,.0512838,.5315508,.0390374,14410,1870,21861,48.64692
44110,0,1,.4102514,.0692556,.5603272,.0200409,10223,2445,19823,31.46187
44111,0,1,.3884422,.0713568,.533195,.0186722,3980,482,6271,34.03028
44112,0,1,.3950627,.0648516,.5598787,.0186963,12598,1979,20260,43.28962
44113,0,1,.2770264,.0517026,.3413209,.0385739,10425,1711,16930,65.02739
44114,0,1,.5157571,.0906162,.5792971,.1562366,19864,4666,36765,19.9289
44115,0,1,.3843958,.0980019,.3201439,.0179856,1051,278,2256,37.59
44116,0,1,.467949,.1209189,.7478507,.0632619,25943,7793,46729,36.13014
44117,0,1,.543312,.0996485,.5955734,.0216298,14511,1988,23797,12.00908
44118,0,1,.3754045,.0582524,.46875,0,618,64,921,23.53896
44119,0,1,.3794694,.0519031,.5092403,.0349076,4335,487,6606,24.88907
44120,0,1,.3576601,.0513986,.4370438,.0510949,7043,1096,12386,39.21821
44121,0,1,.3331126,.0526742,.5027876,.0248353,13593,1973,24046,45.00158
44122,0,1,.4338747,.1160093,.4339623,0,862,106,1467,41.55284
44123,0,1,.4686023,.0946549,.6742327,.0485497,130981,27271,240462,22.48425
44124,0,1,.2029106,.0382536,.287257,.012959,2405,463,4611,72.41093
44125,0,1,.3348678,.0652566,.4487642,.0191613,16075,3601,31770,50.68398
44126,0,1,.4364069,.0595275,.575234,.0199184,26072,4167,44170,25.09365
44127,0,1,.3315417,.0512591,.4253356,.0243289,10047,1192,15414,31.23202
44128,0,1,.2684798,.0506276,.3844062,.030825,7170,1103,13087,55.21794
44129,0,1,.3222717,.0500104,.5123307,.0270927,19316,2879,31293,44.17569
44130,0,1,.386353,.0812762,.4468865,0,4294,546,6628,34.90864
44131,0,1,.2305389,.0598802,.3663366,0,334,101,752,77.38246
44132,0,1,.4038268,.0241692,.3814433,0,993,97,1512,29.73309
44133,0,1,.4799376,.1069477,.5363215,.0355487,12810,1294,18905,31.42148
44134,0,1,.4524433,.0706806,.4071661,.0325733,2292,307,3811,35.59119
44135,0,1,.4068966,.0344828,.2352941,.2352941,290,17,414,38.97181
44136,0,1,.2320551,.0285152,.3571429,.0357143,1017,224,1909,51.75476
44137,0,1,.4916654,.1510737,.7394399,.0686114,13318,8570,32124,43.71518
44138,0,1,.3782398,.0453564,.4473684,.0584795,3704,342,5859,40.40852
44139,0,1,.4109641,.074648,.5929722,.0395315,21233,3415,35460,46.00185
44140,0,1,.3766979,.062783,.3408541,.0531829,9939,1241,17376,36.3123
44141,0,1,.4507249,.0671683,.5761278,.0281955,5449,1064,9122,40.63229
44142,0,1,.217023,.0597015,.1261905,.0166667,2479,420,4671,64.89895
44143,0,1,.2559691,.0545997,.4995802,.0058774,11392,1191,17183,53.52906
44144,0,1,.2429501,.0410176,.5398406,.0298805,5071,502,7873,53.44205
44145,0,1,.3146599,.0614769,.48537,.0120482,5498,581,8505,66.41579
44146,0,1,.3314342,.0501134,.4564554,.0416808,18079,2951,32138,43.95302
44147,0,1,.3003328,.0498421,.416,.012,11717,1500,17632,55.06815
44148,0,1,.5580855,.098513,.6208333,.0291667,2152,240,3317,22.51108
44149,0,1,.3153682,.0506937,.403169,.0158451,3748,568,6543,49.96718
44150,0,1,.4500194,.0753584,.5315985,0,5162,269,6994,36.06038
44151,0,1,.1951219,0,0,0,41,7,73,22.32143
44152,0,1,.5512733,.1400706,.6976429,.0794947,82694,32455,174834,25.10565
44153,0,1,.3340914,.0516849,.3,.0353846,4837,650,8843,38.17041
44154,0,1,.371061,.060041,.3447154,.0243902,5363,615,8412,39.51495
44155,0,1,.4511205,.1030164,.6821355,.054368,82550,18338,143166,30.87914
44156,0,1,.2944694,.0657698,.2840909,0,669,88,1150,45.20548
44157,0,1,.3592873,.0856724,.2522968,.0141343,4097,1415,7475,55.44765
44158,0,1,.3313289,.0523151,.5141509,.0314465,4989,636,8141,58.85474
44159,0,1,.3183099,.0651911,.4213075,0,2485,413,4680,25.69275
44160,0,1,.3410405,.0493553,.476,.028,2249,250,3325,41.02041
44161,0,1,.395394,.0789315,.405558,.0547112,14937,2303,26483,41.10354
44162,0,1,.2416571,.0684056,.2945245,.0190202,7821,1735,17614,68.55425
44163,0,1,.3333652,.048566,.3728632,.0042735,10460,1872,19534,49.08435
44164,0,1,.2918429,.0767372,.3836478,.081761,1655,159,2593,43.9658
44165,0,1,.6661693,.2115334,.5356951,.0681696,34179,5589,63306,15.92846
44166,0,1,.3250661,.0527447,.4878379,.027027,12096,1480,19325,49.06969
44167,0,1,.3715643,.0417374,.4907407,.0324074,2947,216,3960,41.81299
44168,0,1,.3752813,.0797074,.4019293,.0241158,5332,622,8955,36.55989
44169,0,1,.3350897,.0525889,.5669811,.0245283,9869,1060,15016,36.01958
44170,0,1,.442416,.0836151,.5038074,.0336527,26622,4071,47706,43.77424
44171,0,1,.5418088,.0791161,.4995759,.0254453,7331,1179,13798,10.14195
44172,0,1,.3708981,.064479,.5453619,.0152905,6948,981,11992,36.87391
44173,0,1,.3171081,.0422334,.5,0,1397,102,2108,35.76973
44174,0,1,.4289007,.1265268,.8080512,.0386285,17356,9216,35447,48.34283
44175,0,1,.3439942,.0625065,.5484962,.0319549,19198,2660,30208,45.77119
44176,0,1,.33036,.0527238,.4754263,.0060181,6278,997,11374,58.68016
44177,0,1,.3621941,.0670883,.4238517,.0145044,9644,1241,15728,25.16898
44178,0,1,.4880705,.1027142,.5538965,.050851,115135,28731,226883,36.73696
44179,0,1,.5819817,.0793434,.4781582,.0153483,5117,847,9363,11.38455
44180,0,1,.5290698,.0755814,.4713376,.0318471,1032,157,2157,20.86285
44181,0,1,.4406794,.065773,.5922385,.045838,36033,7112,69886,23.71304
44182,0,1,.5115412,.0979844,.6291807,.1093154,15033,4455,27881,32.8717
44183,0,1,.3656378,.0665754,.5921927,.0290698,9493,1204,15571,44.86565
